run,return,mean,sd
a,638094,6.3809,2.303
b,327597,3.276,3.6327
c,640658,6.4066,2.2503
d,615091,6.1509,2.4723
e,293600,2.936,3.5398
f,293722,2.9372,3.5316
g,507313,5.0731,3.2834
h,294965,2.9496,3.5554
i,591021,5.9102,2.5346
a_e2,622579,6.2258,2.391
b_e2,321657,3.2166,3.6023
c_e2,630477,6.3048,2.3334
d_e2,603383,6.0338,2.5509
e_e2,293425,2.9342,3.5262
f_e2,296731,2.9673,3.5506
g_e2,504609,5.0461,3.3048
h_e2,295510,2.9551,3.5428
i_e2,576564,5.7656,2.605
a_e5,600696,6.007,2.5409
b_e5,324950,3.2495,3.5951
c_e5,613214,6.1321,2.4588
d_e5,587016,5.8702,2.6334
e_e5,292988,2.9299,3.5253
f_e5,297472,2.9747,3.546
g_e5,489733,4.8973,3.3446
h_e5,298562,2.9856,3.5527
i_e5,571185,5.7118,2.6628
a_e10,582881,5.8288,2.6771
b_e10,330134,3.3013,3.6065
c_e10,589241,5.8924,2.6433
d_e10,565890,5.6589,2.7686
e_e10,298532,2.9853,3.5405
f_e10,296096,2.961,3.5176
g_e10,474078,4.7408,3.3904
h_e10,298254,2.9825,3.5233
i_e10,548529,5.4853,2.7742
Random,319833,3.1983,3.439
Heuristic,503521,5.0352,2.9946
